ID,Process_Step,Component,Function,Failure_Mode,Effect,Severity,Cause,Occurrence,Current_Control,Detection
1,Prepreg Layup,Prepreg Ply,Provide correct fiber orientation per laminate schedule,Ply misalignment (>±2°),Reduced structural stiffness and strength — potential delamination under load,8,Operator error during manual layup — poor template visibility,4,Layup template + visual inspection after each ply,5
2,Prepreg Layup,Prepreg Ply,Maintain correct ply count per laminate schedule,Wrong ply count (under or over),Laminate thickness deviation — non-compliance with drawing — part rejection,7,Operator counting error — no automated ply tracking,3,Build book sign-off per ply,4
3,Prepreg Layup,Prepreg Material,Maintain cold chain integrity prior to layup,Out-of-life prepreg used (exceeded out-time),Inadequate cure — voids — reduced interlaminar shear strength,8,Material out-time tracking failure — label not updated,2,Material control log + out-time tracking sheet,5
4,Prepreg Layup,Release Film,Allow clean release of part from tool,Release film omitted on tool surface,Part bonded permanently to tool — tool and part scrapped,9,Operator oversight during tool prep step,2,Pre-layup checklist — tool inspection sign-off,6
5,Vacuum Bagging,Vacuum Bag,Maintain vacuum integrity throughout cure cycle,Bag rupture during autoclave cure,Part exposed to atmosphere — resin bleed-out — void formation,9,Sharp prepreg edges puncture bag — inadequate sealant tape coverage,3,Visual inspection of bag prior to autoclave loading,4
6,Vacuum Bagging,Sealant Tape,Seal vacuum bag perimeter to tool flange,Sealant tape bridging — loss of seal,Vacuum leak — uneven compaction — porosity in cured laminate,7,Tape not pressed firmly into tool radius — cold shop temperature,4,Vacuum hold test (>25 inHg for 5 min before cure),3
7,Vacuum Bagging,Breather Cloth,Allow resin bleed and air evacuation during cure,Breather cloth blocked by bridging bag,Resin starvation — dry spots — porosity in surface ply,6,Insufficient breather coverage over complex contours,3,Visual inspection during bagging layup,6
8,Autoclave Cure,Autoclave Controller,Maintain cure temperature profile per specification,Temperature overshoot during cure ramp,Resin over-cure — matrix microcracking — reduced toughness,8,Controller PID tuning drift — thermocouple calibration error,2,Autoclave data logger + post-cure review,4
9,Autoclave Cure,Autoclave Controller,Maintain cure pressure profile per specification,Pressure loss mid-cycle,Under-compaction — voids — porosity — thickness non-conformance,8,Pressure line fitting leak — valve failure,2,Pressure data logger — in-cycle alarm at ±5 psi deviation,3
10,Autoclave Cure,Thermocouple,Provide accurate part temperature measurement during cure,Thermocouple detachment during pressurization,Undetected temperature excursion — invalid cure record — part quarantine,7,Thermocouple adhesive failure under autoclave pressure,3,Post-cure thermocouple continuity check,5
11,Demolding,Tool,Transfer cured part from tool without damage,Part sticks to tool — forced extraction required,Part edge damage — surface delamination — part rejection,7,Inadequate release agent application — release film failure,3,Release agent application log — pre-cure inspection,5
12,Demolding,Cured Laminate,Maintain structural integrity during demolding,Delamination at ply drop during prying,Internal delamination — non-visible damage — part passes visual but fails NDI,9,Excessive prying force applied at wrong location — operator inexperience,2,NDI (ultrasonic C-scan) after demolding,3
13,Non-Destructive Inspection,Ultrasonic Scanner,Detect subsurface voids and delaminations in cured laminate,Scanner calibration drift — missed defect,Defective part released to service — in-service structural failure risk,10,Reference standard not checked before scan — equipment wear,2,Pre-scan calibration on reference block per ASTM E2375,3
14,Non-Destructive Inspection,Inspection Report,Record and disposition all NDI findings per drawing,NDI finding not dispositioned — part shipped with open discrepancy,Non-conforming part in service — regulatory non-compliance — liability,9,Paperwork oversight — no electronic routing enforcement,2,Quality review gate — inspector sign-off required before ship,3
15,Trim and Drill,Diamond Drill Bit,Drill fastener holes to drawing tolerance (±0.002 in),Hole oversize due to worn drill bit,Fastener installation failure — joint strength reduction — rework or rejection,6,Drill bit not replaced per tool life schedule — no force feedback,4,Hole diameter inspection per sampling plan (CMM or go/no-go gauge),4
16,Trim and Drill,CNC Router Bit,Cut panel perimeter to drawing dimensions,Router bit deflection causing overcut,Dimensional non-compliance — part rejection — costly rework,7,Incorrect feed rate or worn bit — no in-process force monitoring,3,First-article CMM inspection after trim,4
17,Trim and Drill,Trim Fixture,Locate and clamp part during router trim operations,Part shift during routing due to inadequate clamping,Edge delamination — dimensional variation — part rejection,8,Insufficient clamping force — fixture wear at datum contacts,2,Clamp torque verification per setup sheet before machining,4
18,Surface Treatment,Panel Surface,Provide adhesion-ready surface for primer application,Peel ply not removed prior to prime coat,Paint adhesion failure — coating delamination in service — part rework,7,Operator oversight — no peel ply removal step on traveler,3,Pre-prime surface inspection checklist — supervisor sign-off,5
19,Surface Treatment,Primer Coat,Apply corrosion-resistant primer to bonding surfaces,Dry spray or insufficient primer coverage,Corrosion initiation at bare substrate — reduced service life,7,Low spray pressure — incorrect gun standoff distance — cold shop,4,Wet film thickness gauge check after prime application,5
20,Surface Treatment,Panel Surface,Maintain contamination-free bonding surface before adhesive,Surface contamination (oil or grease or moisture) prior to bonding,Bond line failure — adhesive joint porosity — structural failure risk,9,Inadequate solvent wipe — handling without nitrile gloves,3,Contact angle test and water-break test before bond,4
21,Bonding and Assembly,Adhesive Film,Apply adhesive film at correct weight per unit area,Incorrect adhesive film thickness or coverage gaps,Inadequate bond strength — joint failure under design load,8,Film cut too thin — wrinkles reducing coverage — cold film storage,3,Film areal weight verification before layup onto bond surface,4
22,Bonding and Assembly,Bond Jig,Align mating parts to drawing dimensions during bond cure,Misalignment of bonded sub-assembly beyond tolerance,Geometric non-conformance — assembly rejected — costly rework,7,Jig datum wear — insufficient clamp contact force on locating pins,3,CMM dimensional check of bonded assembly after cure,5
23,Bonding and Assembly,Adhesive,Achieve full cure of structural adhesive per bond cycle spec,Adhesive under-cure due to cold bond tool surface,Reduced bond strength — joint failure under service load — safety risk,9,Bond tool heater element failure — incorrect cure cycle set-up,2,Bond tool thermocouple data log review after every cure cycle,3
24,Final Inspection,CMM,Verify part geometry against drawing GD&T requirements,CMM stylus calibration drift — dimensional acceptance error,Non-conforming part accepted and shipped — customer escape,8,Calibration artifact check skipped — stylus tip wear undetected,2,Daily calibration artifact check per AS9100 Rev D,3
25,Final Inspection,Quality Inspector,Review all in-process records and traveler for completeness,Incomplete traveler — missing required sign-offs,Non-conforming part released without proper documentation — liability,7,Time pressure — unclear traveler routing — poor process discipline,4,Quality gate review by QA before ship authorization,4
26,Final Inspection,Torque Wrench,Install fasteners to specified torque values per drawing,Under-torque on critical structural fasteners,Joint loosening in service — fatigue crack initiation — safety hazard,9,Torque wrench calibration expired — incorrect operator technique,2,Calibration log check — torque stripe applied after installation,3
27,Shipping and Handling,Foam Packaging,Protect cured panel surfaces during transport to customer,Insufficient foam packaging for non-standard panel geometry,Edge chipping — surface damage — part rejected at customer receiving,6,Non-standard part dimensions not communicated to packaging,4,Packaging inspection sign-off before crate closure,5
28,Shipping and Handling,Shipping Crate,Maintain part orientation and prevent point loading in transit,Part shifts in crate — localized point load on panel surface,Surface delamination at load point — part damaged on delivery,7,Inadequate blocking and bracing — rough carrier handling,3,Shipping damage inspection on receipt at customer facility,6
29,Quality Records,ERP System,Record all inspection results with correct part traceability,Incorrect data entry in ERP — wrong part number or serial number,Traceability failure — potential part mix-up — regulatory non-compliance,7,Manual data entry error — no barcode scanning enforced,4,Record review by QA before traveler closure,5
30,Quality Records,Material Certification,Verify raw material traceability to approved qualified source,Material certification missing or does not match material received,Non-traceable material used — regulatory violation — part quarantine,8,Certification not verified at incoming inspection — time pressure,2,Incoming inspection verification checklist per quality plan,4
