part,appraiser,trial,measurement
P01,A,1,10.054
P01,A,2,10.048
P01,A,3,10.041
P01,B,1,10.057
P01,B,2,10.068
P01,B,3,10.058
P01,C,1,10.03
P01,C,2,10.043
P01,C,3,10.027
P02,A,1,10.112
P02,A,2,10.109
P02,A,3,10.091
P02,B,1,10.133
P02,B,2,10.118
P02,B,3,10.1
P02,C,1,10.087
P02,C,2,10.081
P02,C,3,10.087
P03,A,1,10.156
P03,A,2,10.147
P03,A,3,10.17
P03,B,1,10.185
P03,B,2,10.16
P03,B,3,10.166
P03,C,1,10.124
P03,C,2,10.147
P03,C,3,10.139
P04,A,1,10.201
P04,A,2,10.199
P04,A,3,10.206
P04,B,1,10.227
P04,B,2,10.212
P04,B,3,10.21
P04,C,1,10.186
P04,C,2,10.191
P04,C,3,10.212
P05,A,1,10.247
P05,A,2,10.242
P05,A,3,10.23
P05,B,1,10.249
P05,B,2,10.261
P05,B,3,10.271
P05,C,1,10.249
P05,C,2,10.241
P05,C,3,10.241
